frame_id,object_id,class,x,y,center,xmin,ymin,xmax,ymax
3,1,person,668.5,226.0,"(668, 226)",575,6,762,446
3,2,person,796.0,281.5,"(796, 282)",698,20,894,543
4,1,person,674.0,227.0,"(674, 227)",582,10,766,444
4,2,person,795.0,282.0,"(795, 282)",698,22,892,542
5,1,person,675.0,227.0,"(675, 227)",584,11,766,443
5,2,person,795.0,281.5,"(795, 282)",698,22,892,541
6,1,person,679.0,230.5,"(679, 231)",589,14,769,447
6,2,person,793.5,283.0,"(794, 283)",697,24,890,542
7,1,person,690.5,232.5,"(690, 233)",600,12,781,453
7,2,person,797.5,276.0,"(798, 276)",699,7,896,545
8,1,person,700.0,233.5,"(700, 234)",612,15,788,452
8,2,person,781.0,284.5,"(781, 285)",680,3,882,566
9,1,person,710.5,234.0,"(711, 234)",626,17,795,451
9,2,person,775.5,288.5,"(776, 289)",675,1,876,576
9,3,person,663.5,123.0,"(664, 123)",634,0,693,246
10,1,person,716.0,235.0,"(716, 235)",634,16,798,454
10,2,person,770.5,289.0,"(770, 289)",673,5,868,573
10,3,person,662.0,123.5,"(662, 123)",632,0,692,247
11,1,person,718.0,236.5,"(718, 236)",639,17,797,456
11,2,person,768.0,289.5,"(768, 289)",673,7,863,572
11,3,person,661.5,123.5,"(662, 123)",632,0,691,247
12,1,person,724.0,237.5,"(724, 237)",645,18,803,457
12,2,person,766.5,291.0,"(766, 291)",671,2,862,580
12,3,person,660.5,125.0,"(660, 125)",630,0,691,250
13,2,person,764.0,284.5,"(764, 285)",675,11,853,558
13,3,person,657.5,127.5,"(658, 127)",626,0,689,255
14,2,person,762.0,276.0,"(762, 276)",677,13,847,539
14,3,person,654.0,129.0,"(654, 129)",621,0,687,258
15,2,person,762.0,271.0,"(762, 271)",678,11,846,531
15,3,person,650.0,130.0,"(650, 130)",616,0,684,260
16,2,person,762.5,268.5,"(763, 269)",680,11,845,526
16,3,person,646.5,130.5,"(647, 130)",612,0,681,261
17,2,person,763.0,267.5,"(763, 268)",680,11,846,524
17,3,person,645.5,130.5,"(645, 130)",611,0,680,261
18,2,person,760.0,266.5,"(760, 266)",676,12,844,521
18,3,person,644.5,129.5,"(645, 129)",609,0,680,259
19,2,person,759.5,266.0,"(759, 266)",675,16,844,516
19,3,person,643.0,129.0,"(643, 129)",607,0,679,258
20,2,person,755.0,275.5,"(755, 275)",666,20,844,531
